,Lng,Lat,City,Country,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),Wind Speed (mph)
0,-101.2406327044658,-79.4493284010398,punta arenas,cl,51.8,81.0,40.0,10.29,23.0181126
1,77.09597704895883,22.6094550484513,khategaon,in,75.13,29.0,45.0,4.7,10.513618000000001
2,-83.83838597434948,3.556622129462861,burica,pa,,,,,
3,64.87871619290237,-20.189515773402356,grand river south east,mu,,,,,
4,146.3177001923465,2.9710637942608975,lorengau,pg,84.52,70.0,100.0,7.58,16.9560052
5,-19.80466338341056,4.639986180613032,goderich,sl,,,,,
6,106.67011556275365,-26.802460264704997,carnarvon,au,80.6,69.0,100.0,16.11,36.0371034
7,47.20376166712803,-86.76391671234956,port alfred,za,75.61,77.0,83.0,27.42,61.33689480000001
8,-27.77779811092951,76.10968283590823,illoqqortoormiut,gl,,,,,
9,27.831904583149193,58.975750617494036,gdov,ru,41.05,84.0,92.0,11.14,24.919511600000003
10,65.28694430174606,-88.68726314714432,taolanaro,mg,,,,,
11,-106.20851874569004,70.96728711016695,yellowknife,ca,-13.0,75.0,90.0,6.93,15.5019942
12,-159.52879705180777,-59.77554749562888,mataura,pf,,,,,
13,-51.85360999763493,-0.49974150443282683,mazagao,br,86.0,62.0,90.0,6.93,15.5019942
14,-65.75990786594407,-59.919055118418015,ushuaia,ar,55.4,76.0,75.0,4.85,10.849159
15,-125.06118091611236,-34.56945820440173,rikitea,pf,77.0,81.0,29.0,19.93,44.5822142
16,162.3400198058007,-19.181347569203133,poum,nc,81.97,80.0,84.0,13.09,29.2815446
17,66.90554989524162,-50.51207594443362,saint-philippe,re,80.6,94.0,98.0,17.22,38.5201068
18,65.7762168333267,13.882760401749017,kavaratti,in,83.46,68.0,0.0,9.86,22.056228400000002
20,50.787843041826775,59.366492174344984,nagorsk,ru,36.75,97.0,100.0,11.77,26.3287838
21,-143.79597635869507,35.8660159630653,kahului,us,66.2,88.0,90.0,4.7,10.513618000000001
22,128.2016004465235,63.745214483827475,sangar,ru,-11.97,93.0,100.0,7.18,16.0612292
