,Lng,Lat,City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),Wind Speed (mph)
0,-101.2406327044658,69.6746816216378,thompson,ca,-20.2,75.0,5.0,0.74,1.6553356000000001
1,77.09597704895883,-0.6379480117833736,viligili,mv,,,,,
2,-83.83838597434948,1.8243261277563816,muisne,ec,76.48,92.0,66.0,1.97,4.4067718000000005
3,64.87871619290237,-40.02061951822235,saint-philippe,re,81.93,62.0,35.0,3.36,7.5161184
4,146.3177001923465,16.573991957855526,airai,pw,,,,,
5,-19.80466338341056,-40.900788056896594,arraial do cabo,br,75.76,85.0,0.0,10.8,24.158952000000003
6,106.67011556275365,-53.28598575937096,albany,au,73.4,56.0,20.0,12.75,28.520985000000003
7,47.20376166712803,-86.93670467321017,port alfred,za,68.0,98.0,87.0,3.0,6.71082
8,-27.77779811092951,-73.76159778201978,ushuaia,ar,44.6,81.0,75.0,20.8,46.528352000000005
9,27.831904583149193,-7.403062002917082,manono,cd,71.98,95.0,91.0,0.81,1.8119214000000003
10,65.28694430174606,-31.003537885633257,mahebourg,mu,77.9,94.0,75.0,16.11,36.0371034
11,-106.20851874569004,25.473237000401994,santa catarina de tepehuanes,mx,51.64,81.0,100.0,3.06,6.845036400000001
12,-159.52879705180777,-56.47797384930888,mataura,pf,,,,,
13,-51.85360999763493,-6.381530522730383,sao felix do xingu,br,71.08,98.0,100.0,5.68,12.7058192
15,-125.06118091611236,46.24626380501605,astoria,us,35.29,93.0,1.0,3.36,7.5161184
16,162.3400198058007,34.3367313440856,severo-kurilsk,ru,25.36,84.0,100.0,11.32,25.322160800000002
17,66.90554989524162,0.8783307109223037,thinadhoo,mv,83.32,78.0,69.0,12.59,28.1630746
19,38.68681899691373,-44.64089121581327,east london,za,69.8,94.0,20.0,2.24,5.010745600000001
20,50.787843041826775,43.870942074222455,aktau,kz,48.2,29.0,0.0,17.9,40.041226
21,-143.79597635869507,65.1602397429622,fairbanks,us,3.22,84.0,90.0,6.93,15.5019942
22,128.2016004465235,-68.99688957919355,new norfolk,au,64.42,55.0,20.0,17.22,38.5201068
23,31.462214047380876,-5.234698625881318,kaliua,tz,68.56,89.0,100.0,2.42,5.4133948
25,-0.7701553911258152,48.00965335376139,laval,fr,51.8,93.0,90.0,12.75,28.520985000000003
26,-78.8124318757122,51.220438216221986,moose factory,ca,10.4,85.0,90.0,4.7,10.513618000000001
27,-41.22410891905746,16.69535476808838,ponta do sol,cv,66.2,88.0,20.0,8.05,18.007367000000002
28,125.70186972165807,11.074292491417703,guiuan,ph,80.62,71.0,35.0,12.01,26.865649400000002
30,133.81096366030548,44.61755034486431,yakovlevka,ru,31.84,86.0,100.0,5.3,11.855782
31,135.1681138971465,-16.704679264421852,ngukurr,au,,,,,
32,-65.70628853093584,-22.035634650005875,villazon,bo,49.48,78.0,2.0,5.66,12.661080400000001
33,107.32454001807896,-25.82010127598201,carnarvon,au,84.2,70.0,0.0,10.29,23.0181126
34,-80.63552324328734,-34.90850609304119,lebu,cl,50.56,79.0,45.0,3.31,7.404271400000001
35,178.41103223625117,-81.44064261668207,kaitangata,nz,51.84,85.0,100.0,5.99,13.399270600000001
36,-44.98061788067578,29.164061627625426,ribeira grande,pt,58.48,86.0,100.0,16.35,36.573969000000005
37,-122.3517146752986,-82.17292412958959,punta arenas,cl,44.31,70.0,75.0,4.7,10.513618000000001
38,37.20159553284994,52.32037407154083,kolpny,ru,48.4,81.0,99.0,8.43,18.8574042
39,-50.31799540693589,29.074368607138844,saint george,bm,60.8,63.0,75.0,4.7,10.513618000000001
40,-32.42277112500898,0.936220892374684,touros,br,75.2,94.0,20.0,4.7,10.513618000000001
41,17.262627099858907,26.219246800764783,sabha,ly,50.74,24.0,0.0,3.18,7.113469200000001
42,-75.07085689352454,34.38676883431279,havelock,us,57.96,72.0,20.0,8.05,18.007367000000002
43,41.76015928205905,50.32399836709055,nekhayevskiy,ru,44.01,82.0,97.0,4.0,8.94776
44,-98.11028174013984,-52.15154029638478,castro,cl,48.04,83.0,32.0,2.82,6.3081708
45,14.370431402021966,70.35884240703264,stokmarknes,no,32.72,80.0,75.0,6.93,15.5019942
46,168.00806632460697,40.455588978270875,nikolskoye,ru,35.37,88.0,40.0,4.47,9.9991218
48,175.59119289245123,64.42054558267206,anadyr,ru,-7.35,83.0,66.0,2.24,5.010745600000001
50,-137.0756405253823,44.88179511024944,port hardy,ca,39.2,64.0,90.0,8.05,18.007367000000002
51,77.2342057203894,34.90290765718643,leh,in,15.64,29.0,94.0,1.52,3.4001488
52,41.07868612546357,-41.248344959764175,margate,za,77.74,78.0,65.0,9.26,20.7140644
53,21.699519826316592,-28.14335638761072,upington,za,73.4,49.0,66.0,3.36,7.5161184
54,78.14606378792537,54.09522117570892,karasuk,ru,19.6,87.0,69.0,9.08,20.311415200000003
55,30.80930291227506,-34.46610067112357,umzimvubu,za,,,,,
56,178.36771479954382,27.06637334128511,butaritari,ki,83.86,80.0,100.0,19.35,43.284789
57,75.23908158873789,-1.3737897964537615,hithadhoo,mv,83.86,78.0,23.0,13.09,29.2815446
58,-55.397296114138264,51.686032590669825,saint anthony,ca,,,,,
59,92.31887380783628,-10.618290426544608,bengkulu,id,88.0,58.0,100.0,8.08,18.074475200000002
60,73.75413689780682,-55.832084475257425,souillac,mu,77.9,94.0,75.0,16.11,36.0371034
64,-7.612170358018511,-1.7462912553980914,harper,lr,77.92,94.0,100.0,2.51,5.6147194
67,10.4805184688608,30.255014862066265,nalut,ly,47.32,36.0,49.0,10.98,24.561601200000002
68,-152.1283073281253,16.76574668121188,hilo,us,62.6,83.0,90.0,8.14,18.2086916
70,-176.09064979096837,75.4552299052601,mys shmidta,ru,,,,,
73,-126.65691903699764,-36.14397334261855,rikitea,pf,78.82,84.0,3.0,11.99,26.8209106
74,153.8870656046299,85.47226409034691,chokurdakh,ru,-27.38,94.0,64.0,4.45,9.954383000000002
75,-6.475002741466351,4.897709339639733,san-pedro,ci,82.96,81.0,96.0,13.15,29.415761000000003
77,-103.9351181577285,84.95469202039139,yellowknife,ca,2.08,71.0,40.0,11.41,25.523485400000002
79,-168.21057800395465,-46.19983017958404,vaini,to,77.0,94.0,90.0,4.7,10.513618000000001
81,-172.59877762789924,20.712469714438974,kapaa,us,70.61,69.0,90.0,7.05,15.770427000000002
82,-33.72090386963653,-24.822965755353387,vila velha,br,75.09,94.0,75.0,3.36,7.5161184
83,129.79198468490608,72.40193920842589,tiksi,ru,-26.48,83.0,63.0,2.71,6.0621074
84,48.70130334448832,19.754771597336084,najran,sa,62.6,29.0,82.0,6.4,14.316416000000002
86,163.30474568372338,-22.587304486479674,voh,nc,83.32,75.0,0.0,10.22,22.861526800000004
88,-68.21197880394661,36.58248934469038,nantucket,us,46.94,70.0,1.0,9.17,20.512739800000002
89,-3.569476938382432,-76.97039575917817,hermanus,za,66.11,84.0,94.0,5.99,13.399270600000001
90,88.58312075371092,44.02854209302488,urumqi,cn,32.0,31.0,0.0,2.24,5.010745600000001
91,-89.1669876267211,78.13385392746733,qaanaaq,gl,-29.36,65.0,0.0,5.08,11.3636552
92,-85.86431246917398,59.548890508089706,attawapiskat,ca,,,,,
93,41.463365703082225,68.00147923020012,ostrovnoy,ru,34.36,85.0,85.0,29.53,66.0568382
94,44.34012933938318,-44.98833218086042,tsihombe,mg,,,,,
96,140.51729966404147,33.54830088812827,tateyama,jp,59.97,100.0,75.0,5.82,13.018990800000001
97,-91.61850228926806,52.65184380196521,sioux lookout,ca,5.72,70.0,5.0,4.43,9.9096442
98,126.95151306646537,42.414649058265475,wangou,cn,29.86,84.0,100.0,11.01,24.6287094
99,97.37714821720719,33.93954936901212,xining,cn,38.5,20.0,79.0,4.47,9.9991218
100,-22.6181574759877,20.141691088025716,santa maria,cv,66.2,93.0,20.0,9.17,20.512739800000002
101,25.673510146861457,-57.532737424129635,kruisfontein,za,64.24,88.0,97.0,7.74,17.3139156
102,-50.352275341087505,-49.05962305609183,mar del plata,ar,59.47,82.0,100.0,5.82,13.018990800000001
103,103.81612361263886,18.001515603811058,seka,th,93.99,44.0,5.0,8.41,18.8126654
105,-27.249317961314222,35.67622245021936,ponta delgada,pt,60.8,67.0,75.0,13.87,31.0263578
106,131.502799468462,0.8881783249860553,sorong,id,85.12,84.0,56.0,4.09,9.1490846
107,65.85642972081868,63.88460139706525,andra,ru,28.78,93.0,100.0,13.18,29.4828692
110,85.94698518017896,-85.05756565218044,busselton,au,90.07,13.0,36.0,14.47,32.3685218
111,153.82661786778385,54.90025329608738,sobolevo,ru,41.92,93.0,98.0,2.91,6.5094954000000005
113,-35.741343067400535,4.638576652131254,itarema,br,74.86,94.0,99.0,3.22,7.202946800000001
115,-19.233060422700653,7.89144662889103,bubaque,gw,80.44,59.0,88.0,5.48,12.258431200000002
116,161.51581092443996,-9.49428279530128,kirakira,sb,78.82,86.0,100.0,7.09,15.8599046
117,-9.363292048195259,10.431121566799762,kankan,gn,71.44,47.0,51.0,5.26,11.766304400000001
118,133.985387259494,-4.199243317696522,nabire,id,82.6,80.0,79.0,4.45,9.954383000000002
119,98.9457974653529,52.027411903773476,orlik,ru,17.26,65.0,100.0,14.74,32.9724956
120,-74.78247015700015,38.24923404518782,georgetown,us,63.34,100.0,1.0,5.82,13.018990800000001
121,72.99473391046727,26.707524270803862,jodhpur,in,75.94,21.0,50.0,21.34,47.7362996
122,-13.457179651167284,20.983770458810046,atar,mr,68.2,12.0,0.0,15.84,35.4331296
125,-66.91691302019606,42.66468519734937,yarmouth,ca,35.33,93.0,90.0,13.87,31.0263578
126,26.9315521341144,29.621030208059075,marsa matruh,eg,48.2,81.0,16.0,4.7,10.513618000000001
128,57.70457873601538,76.05086373622586,belushya guba,ru,,,,,
130,34.342692513824666,-12.127196274435171,nkhata bay,mw,77.74,83.0,100.0,19.17,42.882139800000004
131,-106.85220151211566,-9.261800836952371,puerto ayora,ec,78.01,100.0,0.0,7.85,17.559979000000002
132,116.11656244258756,-21.212619196003946,karratha,au,86.2,64.0,0.0,9.37,20.9601278
133,-124.57078370848342,40.70211424334328,eureka,us,42.78,81.0,1.0,3.36,7.5161184
134,24.534599003042533,-73.48268896542062,bredasdorp,za,66.54,77.0,87.0,6.93,15.5019942
135,-164.67167220699537,-31.539519302131737,avarua,ck,77.0,88.0,100.0,3.36,7.5161184
136,-137.12352495851795,60.04250704089672,haines junction,ca,8.08,99.0,63.0,0.78,1.7448132000000003
137,177.6688986614287,-35.163460552827196,whitianga,nz,68.0,78.0,38.0,5.99,13.399270600000001
138,93.11519135331923,48.38438100838628,ulaangom,mn,6.64,87.0,69.0,3.96,8.8582824
139,-62.483749802140395,82.51852685818454,narsaq,gl,23.0,67.0,100.0,2.64,5.905521600000001
141,-78.80407012544524,46.114014308239504,mattawa,ca,40.91,100.0,90.0,9.17,20.512739800000002
142,-42.45045027248571,45.78402726213603,torbay,ca,7.68,60.0,20.0,19.46,43.53085240000001
143,-174.5386518493404,46.4689632418443,provideniya,ru,-4.0,76.0,40.0,3.29,7.3595326000000005
144,96.2630026400374,5.065758770506035,sigli,id,82.96,78.0,85.0,13.65,30.534231000000002
147,128.17381984892432,-54.92940472273177,mount gambier,au,77.0,27.0,0.0,8.05,18.007367000000002
149,-116.84452838642376,49.350930335803056,creston,ca,28.4,79.0,1.0,2.55,5.704197
152,-14.418860434719495,-63.22109838207957,cape town,za,64.4,77.0,100.0,5.82,13.018990800000001
154,112.6982343310561,26.48050600004893,leiyang,cn,62.98,49.0,34.0,5.86,13.108468400000001
155,29.244434208343307,81.94870078250659,mehamn,no,35.6,89.0,75.0,16.11,36.0371034
157,162.08632658265796,76.08430186542651,cherskiy,ru,-8.12,94.0,100.0,7.52,16.8217888
158,115.51447683707082,-32.94287091785162,australind,au,89.01,15.0,36.0,14.47,32.3685218
159,-7.899885431326736,61.258919065843074,sorvag,fo,,,,,
161,167.4765551174296,-66.88025748899418,bluff,nz,53.01,80.0,100.0,8.99,20.110090600000003
163,-52.461541912619694,64.80614735662326,maniitsoq,gl,21.22,60.0,98.0,12.19,27.2682986
164,-82.80908502996684,7.28978728935592,burica,pa,,,,,
165,43.51651652026016,15.91060097681628,bajil,ye,78.28,58.0,89.0,3.96,8.8582824
166,171.95967606971726,-35.9880534424525,ahipara,nz,70.0,80.0,97.0,17.18,38.4306292
167,-8.217818857003678,-31.08528406895914,jamestown,sh,74.68,74.0,20.0,13.24,29.617085600000003
168,57.94596745708429,-11.087646654313065,victoria,sc,86.0,70.0,40.0,10.29,23.0181126
171,132.57188304902797,-41.709501367235255,port lincoln,au,74.68,44.0,0.0,8.95,20.020613
173,48.469401673343285,-16.54507537443315,andilamena,mg,74.86,73.0,40.0,11.81,26.418261400000002
176,59.89158117274338,13.173396593348052,salalah,om,80.6,24.0,5.0,5.82,13.018990800000001
177,-13.922639376900259,17.508921569651214,bababe,mr,,,,,
178,163.65246709429363,-20.799523106667294,koumac,nc,80.26,72.0,70.0,3.09,6.9121446
179,96.52088262735441,85.52576263206964,khatanga,ru,-19.82,93.0,0.0,4.41,9.864905400000001
183,80.86121007829885,55.367897819049105,chulym,ru,12.94,89.0,72.0,11.23,25.120836200000003
184,122.33732864957719,47.682190377901655,zalantun,cn,23.2,80.0,99.0,3.51,7.8516594
190,76.6013425576878,19.754861476878137,jintur,in,89.62,34.0,0.0,9.04,20.2219376
192,133.4512981059772,64.33324353271762,churapcha,ru,6.46,91.0,100.0,12.15,27.178821000000003
195,177.59268767171724,-25.70886895434138,kaeo,nz,69.39,80.0,86.0,14.45,32.323783
198,-61.37448945606017,1.153380762631906,boa vista,br,80.6,57.0,13.0,11.41,25.523485400000002
199,119.36291114603057,30.00527062532988,fuyang,cn,57.4,50.0,37.0,7.07,15.8151658
200,32.30595024684526,-22.438351977174342,chiredzi,zw,73.78,72.0,0.0,4.18,9.3504092
205,32.399005783350646,57.73795421781048,demyansk,ru,37.6,92.0,94.0,3.47,7.762181800000001
206,-73.50585683200197,6.044478437226408,santana,co,59.02,97.0,97.0,1.34,2.9974996000000003
208,7.217907691660463,43.24139017564258,antibes,fr,43.03,52.0,24.0,8.05,18.007367000000002
210,-60.523595597434145,-37.42338701129477,olavarria,ar,54.88,71.0,80.0,11.63,26.015612200000003
212,-44.40493184922403,7.603217374110716,saint-georges,gf,70.54,93.0,98.0,3.36,7.5161184
218,11.072947265470457,56.63877744081861,grenaa,dk,40.35,100.0,100.0,9.17,20.512739800000002
219,74.17990046979688,83.3177522039797,dikson,ru,-9.56,88.0,45.0,25.66,57.3998804
220,-10.172550918596478,45.42856048518927,carballo,es,48.78,87.0,90.0,5.82,13.018990800000001
222,36.61669707473292,0.8852238129690049,maralal,ke,72.7,57.0,97.0,10.22,22.861526800000004
223,-108.96004125928398,5.439611845168391,lazaro cardenas,mx,72.88,79.0,19.0,2.64,5.905521600000001
229,123.69492843279801,20.290336740222724,basco,ph,78.46,78.0,74.0,19.26,43.083464400000004
233,-31.291187908801476,62.50404810945803,tasiilaq,gl,17.6,40.0,100.0,22.64,50.644321600000005
234,29.413310387907444,53.24778185968416,zlobin,by,,,,,
235,19.280688706249236,-5.591088505166109,kikwit,cd,71.8,90.0,100.0,0.96,2.1474624
236,-171.11866677161214,-9.580852635392745,saleaula,ws,,,,,
237,-134.18996276978714,58.91720558035537,juneau,us,35.64,93.0,90.0,12.75,28.520985000000003
238,-43.67690590173194,61.26169019165758,nanortalik,gl,22.12,72.0,97.0,10.11,22.6154634
240,139.59982388033308,51.57993028099458,bogorodskoye,ru,37.42,98.0,100.0,3.4,7.605596
243,-148.2146359284564,-6.570820219665863,atuona,pf,81.88,68.0,0.0,16.8,37.580592
245,-44.05157409495848,-2.3413339789930543,sao jose de ribamar,br,75.2,100.0,90.0,5.82,13.018990800000001
246,151.82624099521743,-32.89202064478859,newcastle,au,73.94,56.0,75.0,16.11,36.0371034
248,164.60240805302584,27.24797646836289,sentyabrskiy,ru,,,,,
251,-151.14356581467337,65.24828906255776,college,us,3.24,84.0,90.0,6.93,15.5019942
252,-145.81317594717808,50.275274288311834,kodiak,us,33.8,69.0,20.0,11.41,25.523485400000002
253,62.273779631047944,56.50466910288882,kamensk-uralskiy,ru,31.66,99.0,93.0,5.23,11.699196200000001
255,131.33040568323494,55.3042489095669,stoyba,ru,,,,,
256,51.1297834111456,-12.754720108411277,sambava,mg,86.56,64.0,99.0,2.04,4.563357600000001
257,16.424939913826762,-2.6968513767402835,bolobo,cd,75.94,85.0,100.0,0.85,1.901399
258,16.882455679707743,52.57914990286871,oborniki,pl,36.68,100.0,20.0,9.17,20.512739800000002
259,168.99812705705958,-13.220618813681295,sola,vu,85.84,72.0,100.0,8.72,19.506116800000004
260,30.360353601852385,64.81595169083731,kostomuksha,ru,34.36,90.0,100.0,11.99,26.8209106
261,19.134943961351624,10.5030861344504,kyabe,td,83.5,25.0,79.0,3.11,6.956883400000001
262,116.90590651744392,44.37587780811795,mujiayingzi,cn,31.84,24.0,0.0,21.72,48.5863368
263,-151.21807814460112,-19.20133642370213,haapiti,pf,84.11,70.0,90.0,3.36,7.5161184
265,126.99903145105804,-47.04644552349769,esperance,au,75.2,53.0,61.0,11.41,25.523485400000002
266,10.139661377769338,81.43714184928902,barentsburg,sj,,,,,
270,-1.3253824174459083,23.79917803766155,taoudenni,ml,57.58,15.0,83.0,8.21,18.365277400000004
272,-2.137780148054458,-39.516917345957424,saldanha,za,59.0,82.0,100.0,6.93,15.5019942
273,78.76262423888238,56.804366167211306,severnoye,ru,16.0,88.0,91.0,7.9,17.671826000000003
275,161.77431124679956,-28.623504594683546,noumea,nc,88.83,52.0,75.0,5.82,13.018990800000001
276,-95.45867187237545,47.67371735122964,bemidji,us,13.77,72.0,90.0,3.36,7.5161184
277,40.90962869990633,84.49913486016773,tumannyy,ru,,,,,
279,-128.35099931764296,85.57674233740264,tuktoyaktuk,ca,-16.6,75.0,90.0,6.93,15.5019942
280,-26.119733230226892,-5.035676389156151,cabedelo,br,77.0,88.0,40.0,5.5,12.303170000000001
282,-78.78607083506517,8.345865651042638,san miguel,pa,72.7,53.0,25.0,5.21,11.6544574
284,81.55379504317743,64.45956532961287,krasnoselkup,ru,-3.08,94.0,17.0,12.66,28.319660400000004
287,-52.96056846439918,-1.8484138553554574,almeirim,br,72.34,98.0,99.0,3.11,6.956883400000001
289,36.70952395307323,-88.5229993065421,port elizabeth,za,66.2,93.0,75.0,6.93,15.5019942
292,114.31214578189419,40.60814795378419,zhangjiakou,cn,30.76,19.0,32.0,14.43,32.2790442
293,84.89443119178685,69.99234241431542,dudinka,ru,-11.2,63.0,0.0,13.42,30.019734800000002
294,5.658717163014759,-24.600286990003273,henties bay,na,65.32,83.0,0.0,2.01,4.4962494
295,40.96507771933597,-16.426035085409318,angoche,mz,80.08,88.0,23.0,6.33,14.159830200000002
297,-122.89816844613793,54.87994832988886,mackenzie,ca,30.2,50.0,90.0,10.29,23.0181126
299,-135.83698910917846,69.04681937526695,aklavik,ca,-14.8,75.0,90.0,5.82,13.018990800000001
300,62.242029216403274,-79.4493284010398,taolanaro,mg,,,,,
301,-0.65186791482712,22.6094550484513,tessalit,ml,58.48,15.0,74.0,9.55,21.362777000000005
302,8.92657598328288,3.556622129462861,riaba,gq,,,,,
303,156.4948701157794,-20.189515773402356,bundaberg,au,75.2,78.0,40.0,26.4,59.055216
304,48.41454611080016,2.9710637942608975,hobyo,so,82.42,58.0,59.0,18.95,42.390013
305,112.45687616996423,4.639986180613032,miri,my,82.26,88.0,75.0,6.93,15.5019942
309,47.74953349800695,58.975750617494036,darovskoy,ru,34.54,98.0,83.0,7.18,16.0612292
311,-171.53728944831823,70.96728711016695,lavrentiya,ru,-12.8,98.0,27.0,5.68,12.7058192
318,109.85393672628885,13.882760401749017,qui nhon,vn,92.86,53.0,0.0,10.29,23.0181126
320,37.2384467917932,59.366492174344984,kaduy,ru,33.8,100.0,90.0,1.7,3.802798
321,-87.21416234422165,35.8660159630653,dickson,us,61.79,72.0,75.0,17.22,38.5201068
322,-75.51717001279647,63.745214483827475,iqaluit,ca,-23.42,67.0,5.0,14.99,33.5317306
326,-47.27601452942623,75.92962154856356,ilulissat,gl,12.2,61.0,60.0,21.92,49.03372480000001
327,-105.0619896498926,47.41285430296368,glendive,us,27.64,100.0,75.0,1.68,3.7580592
328,20.141561811464715,72.37279870827483,skjervoy,no,32.0,92.0,90.0,27.51,61.53821940000001
329,149.52203468656043,-80.92704300974009,hobart,au,64.36,55.0,20.0,17.22,38.5201068
330,-72.13639099886005,-2.3961446830713107,iquitos,pe,75.2,100.0,90.0,4.7,10.513618000000001
331,-1.966208917466572,2.7022230101998,axim,gh,77.74,92.0,100.0,2.77,6.1963238
332,-106.61031296094738,53.17956182260398,shellbrook,ca,-4.0,83.0,20.0,2.24,5.010745600000001
333,135.2660404992831,35.100276446354925,sasayama,jp,58.6,93.0,75.0,10.29,23.0181126
334,138.5944933990319,71.9423904817981,nizhneyansk,ru,,,,,
335,170.57249088945306,82.84849784713451,pevek,ru,-15.5,97.0,98.0,5.86,13.108468400000001
336,-34.232055222202206,-41.24808372664534,laguna,br,64.42,82.0,0.0,2.26,5.0554844
337,-25.281751653998953,-12.546493060955022,sao jose da coroa grande,br,80.98,76.0,93.0,7.23,16.1730762
338,-164.97397262549788,52.49926530864776,bethel,us,52.03,28.0,1.0,9.17,20.512739800000002
340,-125.213943925728,66.67565201604097,norman wells,ca,-14.8,75.0,75.0,3.36,7.5161184
342,125.46112052654796,0.15419054846241842,tondano,id,87.8,62.0,40.0,11.41,25.523485400000002
343,12.96193396811487,63.03703994312483,snasa,no,33.8,96.0,40.0,1.12,2.5053728000000004
350,147.10205702341167,-27.121055990827468,roma,au,77.2,61.0,92.0,11.21,25.076097400000002
352,103.2288615750139,-15.329870490636177,palabuhanratu,id,,,,,
353,90.73673764288858,48.901670010871925,mugur-aksy,ru,18.34,64.0,51.0,7.92,17.7165648
355,83.35201051457355,-37.22194654830717,bambous virieux,mu,77.95,94.0,75.0,16.11,36.0371034
356,134.00926271861005,6.072787842392813,kloulklubed,pw,84.2,70.0,75.0,12.75,28.520985000000003
360,66.22730931488275,18.532845925657572,porbandar,in,80.6,57.0,20.0,9.17,20.512739800000002
362,148.9067464412899,37.0672594016472,nemuro,jp,39.2,93.0,75.0,10.29,23.0181126
363,-88.79605998253041,0.5970017473736045,san cristobal,ec,79.72,83.0,1.0,12.03,26.9103882
364,-1.6703208850457951,76.67333274248932,klaksvik,fo,41.0,80.0,100.0,17.22,38.5201068
365,-5.452208375675016,7.016197416216152,yamoussoukro,ci,75.11,94.0,75.0,9.17,20.512739800000002
366,123.26979691621311,54.346362944898374,takhtamygda,ru,17.08,83.0,98.0,3.36,7.5161184
367,177.82554642835933,-54.27614667689626,dunedin,nz,53.49,88.0,100.0,1.01,2.2593094000000002
368,39.50553209433541,16.298321551881724,ginda,er,,,,,
369,-31.32034740697993,-20.893534203749663,caravelas,br,80.44,82.0,59.0,13.73,30.713186200000003
370,-88.47695371413343,-20.75783280115123,pisco,pe,72.73,83.0,0.0,5.82,13.018990800000001
372,-131.7590188090175,17.595979396844687,san quintin,mx,58.84,83.0,96.0,5.35,11.967629
374,32.59843869726986,68.9432150170818,murmashi,ru,37.4,69.0,75.0,13.42,30.019734800000002
375,-88.01131996032875,6.913786510024378,nicoya,cr,76.32,58.0,25.0,24.16,54.0444704
379,-125.98519613811763,17.72239928863818,guerrero negro,mx,65.86,49.0,90.0,7.31,16.3520314
380,73.80370579171311,20.83976564469524,ahwa,in,80.44,47.0,24.0,11.07,24.7629258
381,-13.134199699360604,39.712327223682685,peniche,pt,48.65,87.0,40.0,3.36,7.5161184
383,137.8688385832371,-5.890352291151746,kiunga,pg,92.5,48.0,79.0,7.29,16.3072926
385,161.01174929198712,-36.574414648898134,port macquarie,au,66.99,93.0,75.0,9.17,20.512739800000002
386,124.68212860621979,25.991864277624266,hirara,jp,66.2,82.0,75.0,11.41,25.523485400000002
388,170.10571751480668,-7.7593608693105605,lata,sb,,,,,
